Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C17, C2, C22, C23, C28, C29, C3, C30, C31, C32, C33, C34, C35, C4, C7, C8, C9",C0402,19,0.1uF,
"C10, C12, C14, C15",C0402,4,1uF,
"C11, C13",C0402,2,0.47uF,
"C18, C19",C0402,2,5pF,
"C20, C21",C0603,2,10uF,
"C24, C25, C26, C27, C5, C6",C0603,6,4.7uF,
CDONE1,CHIP-LED0603,1,green,
CN1,JST-PH-2-SMT-RA,1,JST_2PIN-SMT-RA,
"CRG1, LED2, LED3",LED-0603,3,amber,
J1,1X12_NO_SILK,1,CONN_12NO_SILK,
J2,1X16_NO_SILK,1,CONN_161X16_NO_SILK,
J3,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
LOGO1,OSHW-LOGO-S,1,OSHW-LOGOS,
PWR1,LED-0603,1,green,
"R1, R10, R6, R8, R9",R0402,5,5k1,
"R11, R2, R5, R7",R0402,4,10k,
R12,R0603,1,0,
R13,R0402,1,2k,
"R14, R15",0402,2,5k1,
R16,R0402,1,12k,
R3,R0402,1,1k,
R4,R0402,1,100k,
RGB0,LED_UHD1110-FKA-CL1A13R3Q1BBQFMF3,1,UHD1110-FKA-CL1A13R3Q1BBQFMF3,
U$1,SOD3716X117(SOD-123),1,MBR0520LT1G,
U$2,SOT95P280X145-6N,1,93LC56BT-I/OT,
U$3,3.3X2.9,1,SOF-232HST,
U1,QFN50P700X700X100-49N,1,ICE5LP4K-SG48ITR,
U2,DBV5-L,1,TPS73201DBVRDBV5-L,
U3,DBV5_TEX-L,1,TPS8225DDCR,
U4,DBV5_TEX-L,1,TLV75533PDBVRDBV5_TEX-L,
U5,QFN48_FT232HQ_FTD-M,1,FT232HQ-REELQFN48_FT232HQ_FTD-M,
U6,SOT95P240X105-3N,1,DMG3415U-7,
U7,SOT-23-5_MC-L,1,MCP73831T-2ACI/OTSOT-23-5_MC-L,
U8,W25Q16JVUXIQ_WIN-L,1,W25Q16JVUXIQW25Q16JVUXIQ_WIN-L,
Y1,XTAL_ECS-480-10-37-JTN-TR,1,12MHz,
